aw,bw,lw,w1,w2,f(w1),f(w2),Continue/Terminate
0.0,1.0,1.0,0.618,0.382,6.69590356445101,7.95696152530335,Continue
0.0,0.618,0.618,0.381924,0.236076,7.957230344538123,8.263398179984023,Continue
0.0,0.381924,0.381924,0.236029032,0.14589496799999999,8.2634232638005,8.212643504344477,Continue
0.14589496799999999,0.381924,0.236029032,0.291760909776,0.236058058224,8.198676046158408,8.263407768049577,Continue
0.14589496799999999,0.291760909776,0.145865941776,0.236040120017568,0.201615757758432,8.263417346733435,8.267779561395372,Continue
0.14589496799999999,0.236040120017568,0.09014515201756801,0.20160467194685702,0.18033041607071096,8.267776371141613,8.256047290918398,Continue
0.18033041607071096,0.236040120017568,0.055709703946857037,0.2147590131098686,0.20161152297841034,8.269458109968925,8.267778343073832,Continue
0.20161152297841034,0.236040120017568,0.034428597039157655,0.22288839594860976,0.21476324704736857,8.26841476512889,8.269457977864352,Continue
0.20161152297841034,0.22288839594860976,0.021276872970199423,0.21476063047399357,0.20973928845302653,8.269458059555786,8.269311178672977,Continue
0.20973928845302653,0.22288839594860976,0.013149107495583234,0.21786543688529697,0.21476224751633932,8.26924567401534,8.269458009089885,Continue
0.20973928845302653,0.21786543688529697,0.008126148432270441,0.21476124818416967,0.21284347715415383,8.269458040285222,8.269473683966705,Continue
0.20973928845302653,0.21476124818416967,0.0050219597311431385,0.212842859566873,0.2116576770703232,8.269473674752371,8.269439058997648,Continue
0.2116576770703232,0.21476124818416967,0.0031035711138464595,0.21357568401868032,0.21284324123581255,8.269478149747039,8.269473680447915,Continue
0.21284324123581255,0.21476124818416967,0.001918006948357115,0.21402856952989724,0.21357591989008498,8.269474455601435,8.269478149106924,Continue
0.21284324123581255,0.21402856952989724,0.0011853282940846865,0.2135757741215569,0.2132960366441529,8.269478149502673,8.269477967139366,Continue
0.2132960366441529,0.21402856952989724,0.0007325328857443469,0.2137487419675429,0.21357586420650723,8.26947732039999,8.269478149258159,Terminate
