k,x_k,x_(k+1),f(x_k),f(x_(k+1)),Continue/Terminate
0.0,-2.0,-1.99,3.7293294335267744,3.8260101491089524,Continue
1.0,-1.99,-1.97,3.8260101491089524,4.015713287569898,Continue
2.0,-1.97,-1.93,4.015713287569898,4.380646603032754,Continue
3.0,-1.93,-1.8499999999999999,4.380646603032754,5.053900667372745,Continue
4.0,-1.8499999999999999,-1.69,5.053900667372745,6.184151952014021,Continue
5.0,-1.69,-1.3699999999999999,6.184151952014021,7.660433080894399,Continue
6.0,-1.3699999999999999,-0.7299999999999999,7.660433080894399,8.107165019819595,Continue
7.0,-0.7299999999999999,0.5500000000000002,8.107165019819595,3.599868964265209,Terminate
